Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.305806
Task: 0 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.143234
Task: 0 Train Epoch: 0 [2560/5000 (50%)]	Loss: 2.061729
Task: 0 Train Epoch: 0 [3840/5000 (75%)]	Loss: 1.854042
Task: 0   Test set: Avg. loss: 0.0017, Accuracy: 405/1000(41%)

Task: 0 Train Epoch: 1 [0/5000 (0%)]	Loss: 1.799611
Task: 0 Train Epoch: 1 [1280/5000 (25%)]	Loss: 1.831226
Task: 0 Train Epoch: 1 [2560/5000 (50%)]	Loss: 1.854885
Task: 0 Train Epoch: 1 [3840/5000 (75%)]	Loss: 1.692731
Task: 0   Test set: Avg. loss: 0.0016, Accuracy: 453/1000(45%)

Task: 0 Train Epoch: 2 [0/5000 (0%)]	Loss: 1.650149
Task: 0 Train Epoch: 2 [1280/5000 (25%)]	Loss: 1.569124
Task: 0 Train Epoch: 2 [2560/5000 (50%)]	Loss: 1.640079
Task: 0 Train Epoch: 2 [3840/5000 (75%)]	Loss: 1.662725
Task: 0   Test set: Avg. loss: 0.0016, Accuracy: 445/1000(45%)

Task: 0 Train Epoch: 3 [0/5000 (0%)]	Loss: 1.682537
Task: 0 Train Epoch: 3 [1280/5000 (25%)]	Loss: 1.546253
Task: 0 Train Epoch: 3 [2560/5000 (50%)]	Loss: 1.481426
Task: 0 Train Epoch: 3 [3840/5000 (75%)]	Loss: 1.358268
Task: 0   Test set: Avg. loss: 0.0013, Accuracy: 529/1000(53%)

Task: 0 Train Epoch: 4 [0/5000 (0%)]	Loss: 1.442162
Task: 0 Train Epoch: 4 [1280/5000 (25%)]	Loss: 1.294851
Task: 0 Train Epoch: 4 [2560/5000 (50%)]	Loss: 1.411520
Task: 0 Train Epoch: 4 [3840/5000 (75%)]	Loss: 1.303008
Task: 0   Test set: Avg. loss: 0.0013, Accuracy: 544/1000(54%)

Task: 0 Train Epoch: 5 [0/5000 (0%)]	Loss: 1.462904
Task: 0 Train Epoch: 5 [1280/5000 (25%)]	Loss: 1.175082
Task: 0 Train Epoch: 5 [2560/5000 (50%)]	Loss: 1.361783
Task: 0 Train Epoch: 5 [3840/5000 (75%)]	Loss: 1.037669
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 617/1000(62%)

Task: 0 Train Epoch: 6 [0/5000 (0%)]	Loss: 1.147201
Task: 0 Train Epoch: 6 [1280/5000 (25%)]	Loss: 1.123330
