Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.303456
Task: 0 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.056616
Task: 0 Train Epoch: 0 [2560/5000 (50%)]	Loss: 2.079224
Task: 0 Train Epoch: 0 [3840/5000 (75%)]	Loss: 1.910805
Task: 0   Test set: Avg. loss: 0.0018, Accuracy: 364/1000(36%)

Task: 0 Train Epoch: 1 [0/5000 (0%)]	Loss: 1.996653
Task: 0 Train Epoch: 1 [1280/5000 (25%)]	Loss: 1.966257
Task: 0 Train Epoch: 1 [2560/5000 (50%)]	Loss: 1.790757
Task: 0 Train Epoch: 1 [3840/5000 (75%)]	Loss: 1.721841
Task: 0   Test set: Avg. loss: 0.0017, Accuracy: 388/1000(39%)

Task: 0 Train Epoch: 2 [0/5000 (0%)]	Loss: 1.934395
Task: 0 Train Epoch: 2 [1280/5000 (25%)]	Loss: 1.723686
Task: 0 Train Epoch: 2 [2560/5000 (50%)]	Loss: 1.581110
Task: 0 Train Epoch: 2 [3840/5000 (75%)]	Loss: 1.576955
Task: 0   Test set: Avg. loss: 0.0015, Accuracy: 443/1000(44%)

Task: 0 Train Epoch: 3 [0/5000 (0%)]	Loss: 1.633923
Task: 0 Train Epoch: 3 [1280/5000 (25%)]	Loss: 1.412767
Task: 0 Train Epoch: 3 [2560/5000 (50%)]	Loss: 1.442350
Task: 0 Train Epoch: 3 [3840/5000 (75%)]	Loss: 1.416927
Task: 0   Test set: Avg. loss: 0.0014, Accuracy: 489/1000(49%)

Task: 0 Train Epoch: 4 [0/5000 (0%)]	Loss: 1.421717
Task: 0 Train Epoch: 4 [1280/5000 (25%)]	Loss: 1.594996
Task: 0 Train Epoch: 4 [2560/5000 (50%)]	Loss: 1.442266
Task: 0 Train Epoch: 4 [3840/5000 (75%)]	Loss: 1.507715
Task: 0   Test set: Avg. loss: 0.0013, Accuracy: 553/1000(55%)

Task: 0 Train Epoch: 5 [0/5000 (0%)]	Loss: 1.346881
Task: 0 Train Epoch: 5 [1280/5000 (25%)]	Loss: 1.275160
Task: 0 Train Epoch: 5 [2560/5000 (50%)]	Loss: 1.275109
Task: 0 Train Epoch: 5 [3840/5000 (75%)]	Loss: 1.152611
Task: 0   Test set: Avg. loss: 0.0013, Accuracy: 575/1000(58%)

Task: 0 Train Epoch: 6 [0/5000 (0%)]	Loss: 1.387383
Task: 0 Train Epoch: 6 [1280/5000 (25%)]	Loss: 1.244637
Task: 0 Train Epoch: 6 [2560/5000 (50%)]	Loss: 1.361597
Task: 0 Train Epoch: 6 [3840/5000 (75%)]	Loss: 1.208151
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 622/1000(62%)

Task: 0 Train Epoch: 7 [0/5000 (0%)]	Loss: 1.170021
Task: 0 Train Epoch: 7 [1280/5000 (25%)]	Loss: 1.292331
Task: 0 Train Epoch: 7 [2560/5000 (50%)]	Loss: 1.259690
Task: 0 Train Epoch: 7 [3840/5000 (75%)]	Loss: 1.122545
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 653/1000(65%)

Task: 0 Train Epoch: 8 [0/5000 (0%)]	Loss: 1.138288
Task: 0 Train Epoch: 8 [1280/5000 (25%)]	Loss: 0.973508
Task: 0 Train Epoch: 8 [2560/5000 (50%)]	Loss: 0.937048
Task: 0 Train Epoch: 8 [3840/5000 (75%)]	Loss: 1.128854
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 630/1000(63%)

Task: 0 Train Epoch: 9 [0/5000 (0%)]	Loss: 1.397402
Task: 0 Train Epoch: 9 [1280/5000 (25%)]	Loss: 1.059289
Task: 0 Train Epoch: 9 [2560/5000 (50%)]	Loss: 0.946661
Task: 0 Train Epoch: 9 [3840/5000 (75%)]	Loss: 0.952981
