Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.302506
Task: 0 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.046196
Task: 0 Train Epoch: 0 [2560/5000 (50%)]	Loss: 1.899930
Task: 0 Train Epoch: 0 [3840/5000 (75%)]	Loss: 1.903965
Task: 0   Test set: Avg. loss: 0.0017, Accuracy: 395/1000(40%)

Task: 0 Train Epoch: 1 [0/5000 (0%)]	Loss: 1.798501
Task: 0 Train Epoch: 1 [1280/5000 (25%)]	Loss: 1.855788
Task: 0 Train Epoch: 1 [2560/5000 (50%)]	Loss: 1.798401
Task: 0 Train Epoch: 1 [3840/5000 (75%)]	Loss: 1.585486
Task: 0   Test set: Avg. loss: 0.0015, Accuracy: 462/1000(46%)

Task: 0 Train Epoch: 2 [0/5000 (0%)]	Loss: 1.574977
Task: 0 Train Epoch: 2 [1280/5000 (25%)]	Loss: 1.569947
Task: 0 Train Epoch: 2 [2560/5000 (50%)]	Loss: 1.477703
Task: 0 Train Epoch: 2 [3840/5000 (75%)]	Loss: 1.458763
Task: 0   Test set: Avg. loss: 0.0014, Accuracy: 528/1000(53%)

Task: 0 Train Epoch: 3 [0/5000 (0%)]	Loss: 1.557503
Task: 0 Train Epoch: 3 [1280/5000 (25%)]	Loss: 1.450446
Task: 0 Train Epoch: 3 [2560/5000 (50%)]	Loss: 1.392396
Task: 0 Train Epoch: 3 [3840/5000 (75%)]	Loss: 1.551479
Task: 0   Test set: Avg. loss: 0.0012, Accuracy: 604/1000(60%)

Task: 0 Train Epoch: 4 [0/5000 (0%)]	Loss: 1.171072
Task: 0 Train Epoch: 4 [1280/5000 (25%)]	Loss: 1.517510
Task: 0 Train Epoch: 4 [2560/5000 (50%)]	Loss: 1.194202
Task: 0 Train Epoch: 4 [3840/5000 (75%)]	Loss: 1.146890
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 616/1000(62%)

Task: 0 Train Epoch: 5 [0/5000 (0%)]	Loss: 1.149746
Task: 0 Train Epoch: 5 [1280/5000 (25%)]	Loss: 1.065200
Task: 0 Train Epoch: 5 [2560/5000 (50%)]	Loss: 1.194494
Task: 0 Train Epoch: 5 [3840/5000 (75%)]	Loss: 1.080503
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 657/1000(66%)

Task: 0 Train Epoch: 6 [0/5000 (0%)]	Loss: 1.067667
Task: 0 Train Epoch: 6 [1280/5000 (25%)]	Loss: 1.014543
Task: 0 Train Epoch: 6 [2560/5000 (50%)]	Loss: 1.096145
Task: 0 Train Epoch: 6 [3840/5000 (75%)]	Loss: 0.947671
Task: 0   Test set: Avg. loss: 0.0012, Accuracy: 639/1000(64%)

Task: 0 Train Epoch: 7 [0/5000 (0%)]	Loss: 1.096191
Task: 0 Train Epoch: 7 [1280/5000 (25%)]	Loss: 1.091189
Task: 0 Train Epoch: 7 [2560/5000 (50%)]	Loss: 0.904763
Task: 0 Train Epoch: 7 [3840/5000 (75%)]	Loss: 1.101791
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 635/1000(64%)

Task: 0 Train Epoch: 8 [0/5000 (0%)]	Loss: 1.127037
Task: 0 Train Epoch: 8 [1280/5000 (25%)]	Loss: 1.033277
Task: 0 Train Epoch: 8 [2560/5000 (50%)]	Loss: 0.945528
Task: 0 Train Epoch: 8 [3840/5000 (75%)]	Loss: 0.888299
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 702/1000(70%)

Task: 0 Train Epoch: 9 [0/5000 (0%)]	Loss: 0.833169
Task: 0 Train Epoch: 9 [1280/5000 (25%)]	Loss: 0.912588
Task: 0 Train Epoch: 9 [2560/5000 (50%)]	Loss: 0.917048
Task: 0 Train Epoch: 9 [3840/5000 (75%)]	Loss: 0.979390
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 725/1000(72%)

Task: 0 Train Epoch: 10 [0/5000 (0%)]	Loss: 0.818669
Task: 0 Train Epoch: 10 [1280/5000 (25%)]	Loss: 0.915595
Task: 0 Train Epoch: 10 [2560/5000 (50%)]	Loss: 0.789441
Task: 0 Train Epoch: 10 [3840/5000 (75%)]	Loss: 0.906434
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 726/1000(73%)

Task: 0 Train Epoch: 11 [0/5000 (0%)]	Loss: 0.907902
Task: 0 Train Epoch: 11 [1280/5000 (25%)]	Loss: 0.698425
Task: 0 Train Epoch: 11 [2560/5000 (50%)]	Loss: 0.866022
Task: 0 Train Epoch: 11 [3840/5000 (75%)]	Loss: 0.830649
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 689/1000(69%)

Task: 0 Train Epoch: 12 [0/5000 (0%)]	Loss: 0.611212
Task: 0 Train Epoch: 12 [1280/5000 (25%)]	Loss: 0.918981
Task: 0 Train Epoch: 12 [2560/5000 (50%)]	Loss: 0.579959
Task: 0 Train Epoch: 12 [3840/5000 (75%)]	Loss: 0.684914
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 710/1000(71%)

Task: 0 Train Epoch: 13 [0/5000 (0%)]	Loss: 0.772608
Task: 0 Train Epoch: 13 [1280/5000 (25%)]	Loss: 0.764359
Task: 0 Train Epoch: 13 [2560/5000 (50%)]	Loss: 0.921213
Task: 0 Train Epoch: 13 [3840/5000 (75%)]	Loss: 0.630926
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 742/1000(74%)

Task: 0 Train Epoch: 14 [0/5000 (0%)]	Loss: 0.724071
Task: 0 Train Epoch: 14 [1280/5000 (25%)]	Loss: 0.805630
Task: 0 Train Epoch: 14 [2560/5000 (50%)]	Loss: 0.598969
Task: 0 Train Epoch: 14 [3840/5000 (75%)]	Loss: 0.786350
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 757/1000(76%)

Task: 0 Train Epoch: 15 [0/5000 (0%)]	Loss: 0.465461
Task: 0 Train Epoch: 15 [1280/5000 (25%)]	Loss: 0.621711
Task: 0 Train Epoch: 15 [2560/5000 (50%)]	Loss: 0.798322
Task: 0 Train Epoch: 15 [3840/5000 (75%)]	Loss: 0.613102
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 741/1000(74%)

Task: 0 Train Epoch: 16 [0/5000 (0%)]	Loss: 0.534083
Task: 0 Train Epoch: 16 [1280/5000 (25%)]	Loss: 0.508476
