Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.302128
Task: 0 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.182317
Task: 0 Train Epoch: 0 [2560/5000 (50%)]	Loss: 2.053446
Task: 0 Train Epoch: 0 [3840/5000 (75%)]	Loss: 2.000201
Task: 0   Test set: Avg. loss: 0.0017, Accuracy: 409/1000(41%)

Task: 0 Train Epoch: 1 [0/5000 (0%)]	Loss: 1.784511
Task: 0 Train Epoch: 1 [1280/5000 (25%)]	Loss: 1.867162
Task: 0 Train Epoch: 1 [2560/5000 (50%)]	Loss: 1.739317
Task: 0 Train Epoch: 1 [3840/5000 (75%)]	Loss: 1.751998
Task: 0   Test set: Avg. loss: 0.0018, Accuracy: 400/1000(40%)

Task: 0 Train Epoch: 2 [0/5000 (0%)]	Loss: 1.829238
Task: 0 Train Epoch: 2 [1280/5000 (25%)]	Loss: 1.848957
Task: 0 Train Epoch: 2 [2560/5000 (50%)]	Loss: 1.477179
Task: 0 Train Epoch: 2 [3840/5000 (75%)]	Loss: 1.676709
Task: 0   Test set: Avg. loss: 0.0015, Accuracy: 485/1000(49%)

Task: 0 Train Epoch: 3 [0/5000 (0%)]	Loss: 1.681410
Task: 0 Train Epoch: 3 [1280/5000 (25%)]	Loss: 1.530108
Task: 0 Train Epoch: 3 [2560/5000 (50%)]	Loss: 1.500391
Task: 0 Train Epoch: 3 [3840/5000 (75%)]	Loss: 1.499901
Task: 0   Test set: Avg. loss: 0.0014, Accuracy: 505/1000(51%)

Task: 0 Train Epoch: 4 [0/5000 (0%)]	Loss: 1.509385
Task: 0 Train Epoch: 4 [1280/5000 (25%)]	Loss: 1.533654
Task: 0 Train Epoch: 4 [2560/5000 (50%)]	Loss: 1.254153
Task: 0 Train Epoch: 4 [3840/5000 (75%)]	Loss: 1.401181
Task: 0   Test set: Avg. loss: 0.0012, Accuracy: 575/1000(58%)

Task: 0 Train Epoch: 5 [0/5000 (0%)]	Loss: 1.374123
Task: 0 Train Epoch: 5 [1280/5000 (25%)]	Loss: 1.550998
Task: 0 Train Epoch: 5 [2560/5000 (50%)]	Loss: 1.338204
Task: 0 Train Epoch: 5 [3840/5000 (75%)]	Loss: 1.277757
Task: 0   Test set: Avg. loss: 0.0012, Accuracy: 579/1000(58%)

Task: 0 Train Epoch: 6 [0/5000 (0%)]	Loss: 1.330145
Task: 0 Train Epoch: 6 [1280/5000 (25%)]	Loss: 1.181265
Task: 0 Train Epoch: 6 [2560/5000 (50%)]	Loss: 1.175154
Task: 0 Train Epoch: 6 [3840/5000 (75%)]	Loss: 1.322394
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 598/1000(60%)

Task: 0 Train Epoch: 7 [0/5000 (0%)]	Loss: 1.206507
Task: 0 Train Epoch: 7 [1280/5000 (25%)]	Loss: 1.101333
Task: 0 Train Epoch: 7 [2560/5000 (50%)]	Loss: 1.131424
Task: 0 Train Epoch: 7 [3840/5000 (75%)]	Loss: 1.269317
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 661/1000(66%)

Task: 0 Train Epoch: 8 [0/5000 (0%)]	Loss: 1.050512
Task: 0 Train Epoch: 8 [1280/5000 (25%)]	Loss: 1.036720
Task: 0 Train Epoch: 8 [2560/5000 (50%)]	Loss: 0.945821
Task: 0 Train Epoch: 8 [3840/5000 (75%)]	Loss: 1.122391
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 644/1000(64%)

Task: 0 Train Epoch: 9 [0/5000 (0%)]	Loss: 1.269285
Task: 0 Train Epoch: 9 [1280/5000 (25%)]	Loss: 1.104318
Task: 0 Train Epoch: 9 [2560/5000 (50%)]	Loss: 1.112259
Task: 0 Train Epoch: 9 [3840/5000 (75%)]	Loss: 0.956267
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 667/1000(67%)

Task: 0 Train Epoch: 10 [0/5000 (0%)]	Loss: 1.050502
Task: 0 Train Epoch: 10 [1280/5000 (25%)]	Loss: 1.060083
Task: 0 Train Epoch: 10 [2560/5000 (50%)]	Loss: 1.156538
Task: 0 Train Epoch: 10 [3840/5000 (75%)]	Loss: 0.931394
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 659/1000(66%)

Task: 0 Train Epoch: 11 [0/5000 (0%)]	Loss: 1.032840
Task: 0 Train Epoch: 11 [1280/5000 (25%)]	Loss: 0.933759
